"Month","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","Creator"
2020-07-01,0,0,0,0,0,0,0,0,NA,NA,"maddie grace jepson"
2020-08-01,0,0,0,0,0,0,0,0,NA,NA,"maddie grace jepson"
2021-01-01,2,0,0,1,0,1,0,0,100,0,"maddie grace jepson"
2021-04-01,0,0,0,0,1,0,0,0,0,100,"maddie grace jepson"
2021-06-01,0,0,0,0,0,1,0,0,100,0,"maddie grace jepson"
2021-12-01,0,3,1,0,2,1,0,1,28.5714285714286,71.4285714285714,"maddie grace jepson"
2022-02-01,0,1,0,0,0,0,0,0,100,0,"maddie grace jepson"
2022-06-01,1,0,0,0,0,0,1,0,100,0,"maddie grace jepson"
2022-07-01,1,1,0,0,2,0,1,2,33.3333333333333,66.6666666666667,"maddie grace jepson"
2022-08-01,0,0,0,0,2,0,0,1,0,100,"maddie grace jepson"
2022-10-01,0,0,0,0,0,0,0,0,0,100,"maddie grace jepson"
2022-12-01,0,1,0,0,1,0,0,0,0,100,"maddie grace jepson"
NA,166,346,118,196,392,172,145,313,32.0085929108485,67.9914070891515,"maddie grace jepson"
NA,42,118,35,60,121,48,54,101,28.8461538461538,71.1538461538462,"amelia dimz"
2020-04-01,8,9,9,11,11,9,4,14,48.7179487179487,51.2820512820513,"jack josoph"
2020-05-01,17,20,23,23,17,18,13,18,50.6666666666667,49.3333333333333,"jack josoph"
2020-06-01,5,15,5,12,16,9,5,18,48.3870967741936,51.6129032258064,"jack josoph"
2020-07-01,12,36,10,21,38,14,13,23,31.7757009345794,68.2242990654206,"jack josoph"
2020-08-01,4,14,4,3,13,2,3,7,18.5185185185185,81.4814814814815,"jack josoph"
2020-09-01,13,13,9,9,14,9,8,15,41.8181818181818,58.1818181818182,"jack josoph"
2020-10-01,10,10,14,10,19,10,8,14,50,50,"jack josoph"
2020-11-01,4,6,6,4,5,7,3,4,61.9047619047619,38.0952380952381,"jack josoph"
2020-12-01,3,0,5,3,1,3,0,2,63.6363636363636,36.3636363636364,"jack josoph"
2021-01-01,0,3,0,1,3,0,0,4,0,100,"jack josoph"
2021-02-01,5,6,2,9,3,6,3,5,70.8333333333333,29.1666666666667,"jack josoph"
2021-03-01,5,3,2,5,4,5,2,5,53.3333333333333,46.6666666666667,"jack josoph"
2021-04-01,0,0,0,0,0,0,0,0,NA,NA,"jack josoph"
2021-05-01,3,4,2,1,4,2,1,4,44.4444444444444,55.5555555555556,"jack josoph"
2021-06-01,0,1,1,0,1,0,0,1,25,75,"jack josoph"
2021-07-01,12,1,2,1,2,3,1,3,65.2173913043478,34.7826086956522,"jack josoph"
2021-08-01,28,5,3,4,7,3,5,8,72.0930232558139,27.906976744186,"jack josoph"
2021-09-01,8,5,3,17,4,0,1,17,42.8571428571429,57.1428571428571,"jack josoph"
2021-10-01,6,6,4,13,5,3,4,14,54.5454545454545,45.4545454545455,"jack josoph"
2021-11-01,1,3,1,5,2,3,0,4,71.4285714285714,28.5714285714286,"jack josoph"
2021-12-01,4,3,3,5,2,2,1,6,50,50,"jack josoph"
2022-01-01,6,3,1,6,3,4,4,11,43.4782608695652,56.5217391304348,"jack josoph"
2022-02-01,8,3,4,5,5,3,7,4,60,40,"jack josoph"
2022-03-01,1,6,2,2,5,0,2,7,27.7777777777778,72.2222222222222,"jack josoph"
2022-04-01,5,2,4,2,5,3,3,6,35.2941176470588,64.7058823529412,"jack josoph"
2022-05-01,2,1,4,3,2,1,1,6,45.4545454545455,54.5454545454545,"jack josoph"
2022-06-01,4,8,2,4,8,2,4,12,38.4615384615385,61.5384615384615,"jack josoph"
2022-07-01,4,8,4,6,3,6,1,5,42.8571428571429,57.1428571428571,"jack josoph"
2022-08-01,8,4,6,6,4,3,1,4,57.1428571428571,42.8571428571429,"jack josoph"
2022-09-01,4,1,2,6,3,2,0,3,44.4444444444444,55.5555555555556,"jack josoph"
2022-10-01,5,4,2,1,4,1,6,2,58.3333333333333,41.6666666666667,"jack josoph"
2022-11-01,4,6,4,8,6,9,3,11,68.1818181818182,31.8181818181818,"jack josoph"
2022-12-01,3,3,2,3,6,7,3,4,42.8571428571429,57.1428571428571,"jack josoph"
NA,0,0,0,0,0,0,0,0,NA,NA,"jack josoph"
2020-04-01,0,0,0,0,0,0,0,0,NA,NA,"hayley morris"
2020-05-01,0,2,0,1,0,0,1,0,33.3333333333333,66.6666666666667,"hayley morris"
2020-06-01,0,1,0,0,0,0,0,0,0,100,"hayley morris"
2020-11-01,0,0,0,0,0,1,1,1,50,50,"hayley morris"
2020-12-01,2,3,1,3,3,1,2,2,33.3333333333333,66.6666666666667,"hayley morris"
2021-01-01,6,10,5,6,4,6,4,4,66.6666666666667,33.3333333333333,"hayley morris"
2021-02-01,4,9,5,5,3,4,3,1,61.5384615384615,38.4615384615385,"hayley morris"
2021-03-01,5,9,2,3,7,1,2,10,26.0869565217391,73.9130434782609,"hayley morris"
2021-04-01,3,5,2,3,1,3,1,2,53.8461538461538,46.1538461538462,"hayley morris"
2021-05-01,3,4,3,4,2,3,2,2,33.3333333333333,66.6666666666667,"hayley morris"
2021-06-01,4,1,4,4,2,3,4,2,60,40,"hayley morris"
2021-07-01,4,10,4,8,7,7,2,6,45.4545454545455,54.5454545454545,"hayley morris"
2021-08-01,10,13,13,12,8,13,7,8,54.5454545454545,45.4545454545455,"hayley morris"
2021-09-01,1,1,0,1,0,1,0,1,25,75,"hayley morris"
2021-10-01,6,10,5,9,5,7,3,8,50,50,"hayley morris"
2021-11-01,2,4,2,2,3,2,4,4,33.3333333333333,66.6666666666667,"hayley morris"
2021-12-01,2,4,2,1,3,2,1,4,40,60,"hayley morris"
2022-01-01,2,7,1,4,3,2,1,3,58.3333333333333,41.6666666666667,"hayley morris"
2022-02-01,2,1,2,2,2,2,1,1,50,50,"hayley morris"
2022-03-01,1,7,2,3,3,2,2,5,57.1428571428571,42.8571428571429,"hayley morris"
2022-04-01,1,1,0,1,0,1,1,1,50,50,"hayley morris"
2022-05-01,0,3,0,1,0,0,0,1,100,0,"hayley morris"
2022-06-01,0,1,0,0,1,0,1,1,0,100,"hayley morris"
2022-07-01,3,7,3,6,4,4,4,5,53.3333333333333,46.6666666666667,"hayley morris"
2022-08-01,0,0,0,0,0,0,0,1,0,100,"hayley morris"
2022-09-01,2,4,2,3,2,4,4,3,75,25,"hayley morris"
2022-10-01,1,3,1,1,0,1,0,1,50,50,"hayley morris"
2022-11-01,0,2,0,1,3,1,1,2,20,80,"hayley morris"
2022-12-01,0,6,1,2,8,2,2,8,23.0769230769231,76.9230769230769,"hayley morris"
NA,0,0,0,0,0,0,0,0,NA,NA,"hayley morris"
2020-10-01,1,1,1,2,0,1,0,0,100,0,"adrian bliss"
2020-12-01,1,4,0,3,5,0,0,4,12.5,87.5,"adrian bliss"
2021-01-01,1,0,1,1,0,1,0,1,50,50,"adrian bliss"
2021-02-01,1,3,1,2,3,2,0,3,42.8571428571429,57.1428571428571,"adrian bliss"
2021-03-01,0,0,0,1,0,0,0,1,100,0,"adrian bliss"
2021-04-01,0,0,0,0,0,0,0,0,0,100,"adrian bliss"
2021-05-01,0,2,0,1,1,2,0,3,28.5714285714286,71.4285714285714,"adrian bliss"
2021-06-01,0,0,0,0,0,0,0,0,NA,NA,"adrian bliss"
2021-07-01,2,2,2,3,1,0,1,1,80,20,"adrian bliss"
2021-08-01,0,0,1,0,0,1,0,0,100,0,"adrian bliss"
2021-09-01,2,1,0,2,0,0,0,0,NA,NA,"adrian bliss"
2021-10-01,5,10,7,9,7,5,2,5,46.1538461538462,53.8461538461538,"adrian bliss"
2021-11-01,2,7,1,6,7,5,4,11,42.8571428571429,57.1428571428571,"adrian bliss"
2021-12-01,1,2,1,1,3,1,1,1,20,80,"adrian bliss"
